customer_id,first_name,last_name,email,password_mask,customer_segment,street,city,state_code,zipcode,country,latitude,longitude
1,Richard,Hernandez,XXXXXXXXX,XXXXXXXXX,Consumer,6303 Heather Plaza,Brownsville,TX,78521,EE. UU.,25.95364761,-97.5076828
2,Mary,Barrett,XXXXXXXXX,XXXXXXXXX,Consumer,9526 Noble Embers Ridge,Littleton,CO,80126,EE. UU.,38.37559509,-104.7260208
3,Ann,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,3422 Blue Pioneer Bend,Caguas,PR,725,Puerto Rico,18.02537537,-66.61508179
4,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Consumer,8324 Little Common,San Marcos,CA,92069,EE. UU.,33.67002106,-112.2470779
5,Robert,Hudson,XXXXXXXXX,XXXXXXXXX,Home Office,10 Crystal River Mall ,Caguas,PR,725,Puerto Rico,18.35910416,-66.07791138
6,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,3151 Sleepy Quail Promenade,Passaic,NJ,7055,EE. UU.,40.87154007,-74.12263489
7,Melissa,Wilcox,XXXXXXXXX,XXXXXXXXX,Corporate,9453 High Concession,Caguas,PR,725,Puerto Rico,18.35909462,-66.07995606
8,Megan,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,3047 Foggy Forest Plaza,Lawrence,MA,1841,EE. UU.,34.02827454,-118.2391357
9,Mary,Perez,XXXXXXXXX,XXXXXXXXX,Consumer,3616 Quaking Street,Caguas,PR,725,Puerto Rico,18.02528,-66.61306763
10,Melissa,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,8598 Harvest Beacon Plaza,Stafford,VA,22554,EE. UU.,38.47135925,-77.41419983
11,Mary,Huffman,XXXXXXXXX,XXXXXXXXX,Consumer,3169 Stony Woods,Caguas,PR,725,Puerto Rico,18.02537537,-66.61508179
12,Christopher,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5594 Jagged Embers By-pass,San Antonio,TX,78227,EE. UU.,25.91337204,-97.44564819
13,Mary,Baldwin,XXXXXXXXX,XXXXXXXXX,Home Office,7922 Iron Oak Gardens,Caguas,PR,725,Puerto Rico,18.35908699,-66.07793427
14,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5666 Hazy Pony Square,Pico Rivera,CA,90660,EE. UU.,33.98892212,-118.0814438
15,Jane,Luna,XXXXXXXXX,XXXXXXXXX,Corporate,673 Burning Glen,Fontana,CA,92336,EE. UU.,34.11307144,-117.508728
16,Tiffany,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,6651 Iron Port,Caguas,PR,725,Puerto Rico,18.29652023,-66.04867554
17,Mary,Robinson,XXXXXXXXX,XXXXXXXXX,Consumer,1325 Noble Pike,Taylor,MI,48180,EE. UU.,42.20061112,-83.24320984
18,Robert,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2734 Hazy Butterfly Circle,Martinez,CA,94553,EE. UU.,38.00925446,-122.1187134
19,Stephanie,Mitchell,XXXXXXXXX,XXXXXXXXX,Home Office,3543 Red Treasure Bay,Caguas,PR,725,Puerto Rico,18.35910606,-66.07789612
20,Mary,Ellis,XXXXXXXXX,XXXXXXXXX,Consumer,4703 Old Route,West New York,NJ,7093,EE. UU.,40.7571907,-74.02506256
21,William,Zimmerman,XXXXXXXXX,XXXXXXXXX,Consumer,3323 Old Willow Mall ,Caguas,PR,725,Puerto Rico,18.02520371,-66.61289215
22,Joseph,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,7740 Broad Fox Villas,North Bergen,NJ,7047,EE. UU.,40.80894089,-74.0328598
23,Benjamin,Duarte,XXXXXXXXX,XXXXXXXXX,Corporate,8811 High Horse Impasse,San Juan,PR,921,Puerto Rico,18.01836205,-66.61623383
24,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,9417 Emerald Towers,Caguas,PR,725,Puerto Rico,18.35124588,-65.96308899
25,Paul,Richardson,XXXXXXXXX,XXXXXXXXX,Home Office,318 Merry Creek Mountain,Peoria,AZ,85345,EE. UU.,33.67002106,-112.2470779
26,Johnny,Hood,XXXXXXXXX,XXXXXXXXX,Consumer,9576 Middle Hills Round,Glenview,IL,60025,EE. UU.,37.64143753,-121.8764877
27,Mary,Vincent,XXXXXXXXX,XXXXXXXXX,Consumer,1768 Sleepy Zephyr Place,Caguas,PR,725,Puerto Rico,18.35900879,-66.07815552
28,Timothy,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,9366 Colonial Horse Close,Longview,WA,98632,EE. UU.,46.14056015,-122.9390869
29,Mary,Humphrey,XXXXXXXXX,XXXXXXXXX,Consumer,2469 Blue Brook Crossing,Fort Worth,TX,76133,EE. UU.,32.65819931,-97.40261078
30,Barbara,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,2455 Merry Hollow,Caguas,PR,725,Puerto Rico,18.1464901,-66.54896545
31,Mary,Byrd,XXXXXXXXX,XXXXXXXXX,Consumer,8259 Foggy Edge,Albuquerque,NM,87111,EE. UU.,35.13143921,-106.5452042
32,Alice,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,2082 Hidden Green,Caguas,PR,725,Puerto Rico,18.2275734,-66.04343414
33,Adam,Petersen,XXXXXXXXX,XXXXXXXXX,Consumer,9768 Noble Horse Heights,Norfolk,VA,23503,EE. UU.,36.95009995,-76.24848938
34,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,3330 Easy Berry Range,Caguas,PR,725,Puerto Rico,18.14657784,-66.27722168
35,Margaret,Wright,XXXXXXXXX,XXXXXXXXX,Consumer,9456 Sleepy Jetty,Oceanside,CA,92056,EE. UU.,32.68920898,-97.39685059
36,Michelle,Carey,XXXXXXXXX,XXXXXXXXX,Corporate,6336 Fallen Village,Caguas,PR,725,Puerto Rico,18.2275734,-66.04344177
37,Virginia,Conrad,XXXXXXXXX,XXXXXXXXX,Consumer,6115 Indian Beacon Close,Norfolk,VA,23503,EE. UU.,36.94044876,-76.25640106
38,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2805 Crystal Moor,Opelousas,LA,70570,EE. UU.,30.24161911,-97.89144135
39,Juan,Mckinney,XXXXXXXXX,XXXXXXXXX,Consumer,7274 Blue Wagon  Villas,Caguas,PR,725,Puerto Rico,18.22408485,-66.04698181
40,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7358 Rocky Villas,Long Beach,CA,90805,EE. UU.,33.56687927,-117.7633209
41,Victoria,Mason,XXXXXXXXX,XXXXXXXXX,Consumer,7869 Crystal View Villas,Brooklyn,NY,11230,EE. UU.,40.67569351,-73.87450409
42,Ethan,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7533 Thunder Wagon  Beach,Duluth,GA,30096,EE. UU.,33.83944702,-118.1929245
43,Mary,Herring,XXXXXXXXX,XXXXXXXXX,Corporate,4575 Thunder Dale,Caguas,PR,725,Puerto Rico,18.27657318,-66.03531647
44,Howard,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1356 Easy Plaza,Napa,CA,94558,EE. UU.,38.30553055,-122.2734375
45,Mary,Nunez,XXXXXXXXX,XXXXXXXXX,Consumer,1229 Bright Robin Corners,Denver,CO,80231,EE. UU.,39.71010208,-105.0270767
46,Jennifer,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,5463 Rocky Autoroute,Freeport,NY,11520,EE. UU.,33.06581879,-97.36239624
47,Lori,Fuller,XXXXXXXXX,XXXXXXXXX,Home Office,357 Noble Lane,Caguas,PR,725,Puerto Rico,18.22754669,-66.04360199
48,Mary,Cowan,XXXXXXXXX,XXXXXXXXX,Consumer,1040 Hazy Timber Lookout,Strongsville,OH,44136,EE. UU.,41.34735107,-81.83055115
49,Martha,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7449 Merry Chase,Caguas,PR,725,Puerto Rico,18.25029564,-66.07608795
50,Mary,Kim,XXXXXXXXX,XXXXXXXXX,Consumer,938 Rustic Pine Ridge,San Bernardino,CA,92410,EE. UU.,33.61837387,-117.1344681
